title,genres,actors,director
Rambo III,Action Adventure Thriller War,Sylvester Stallone Richard Crenna Kurtwood Smith,Peter MacDonald
Leatherheads,Comedy Romance Drama,George Clooney Renée Zellweger John Krasinski,George Clooney
The Ridiculous 6,Comedy Western,Adam Sandler Taylor Lautner Steve Buscemi,Frank Coraci
Did You Hear About the Morgans?,Comedy,Hugh Grant Sarah Jessica Parker Mary Steenburgen,Marc Lawrence
The Internship,Comedy,Owen Wilson Vince Vaughn Rose Byrne,Shawn Levy
Resident Evil: Afterlife,Action Adventure Horror Science Fiction,Milla Jovovich Wentworth Miller Ali Larter,Paul W.S. Anderson
Red Tails,Drama Action Adventure History War,Bryan Cranston David Oyelowo Cuba Gooding Jr.,Anthony Hemingway
The Devil's Advocate,Drama Horror Mystery Thriller,Keanu Reeves Al Pacino Charlize Theron,Taylor Hackford
That's My Boy,Comedy,Adam Sandler Susan Sarandon Eva Amurri Martino,Sean Anders
DragonHeart,Fantasy,Dennis Quaid David Thewlis Pete Postlethwaite,Rob Cohen
After the Sunset,Action Comedy Crime Drama,Pierce Brosnan Salma Hayek Woody Harrelson,Brett Ratner
Ghost Rider: Spirit of Vengeance,Action Fantasy Thriller,Nicolas Cage Ciarán Hinds Violante Placido,Brian Taylor
Captain Corelli's Mandolin,Drama History Romance,Nicolas Cage Penélope Cruz John Hurt,John Madden
The Pacifier,Action Comedy Drama Family Thriller,Vin Diesel Lauren Graham Faith Ford,Adam Shankman
Walking Tall,Adventure Drama Action Thriller,Dwayne Johnson Johnny Knoxville Neal McDonough,Kevin Bray
Forrest Gump,Comedy Drama Romance,Tom Hanks Robin Wright Gary Sinise,Robert Zemeckis
Alvin and the Chipmunks,Comedy Music Family Fantasy Animation,Jason Lee David Cross Cameron Richardson,Tim Hill
Meet the Parents,Comedy Romance,Ben Stiller Robert De Niro Teri Polo,Jay Roach
Pocahontas,Adventure Animation Drama Family,Irene Bedard Mel Gibson David Ogden Stiers,Mike Gabriel
Superman,Action Adventure Fantasy Science Fiction,Christopher Reeve Marlon Brando Margot Kidder,Richard Donner
The Nutty Professor,Fantasy Comedy Romance Science Fiction,Eddie Murphy Jada Pinkett Smith James Coburn,Tom Shadyac
Hitch,Comedy Drama Romance,Will Smith Eva Mendes Kevin James,Andy Tennant
George of the Jungle,Adventure Comedy Family Romance,Brendan Fraser Leslie Mann Thomas Haden Church,Sam Weisman
American Wedding,Comedy Romance,Jason Biggs Alyson Hannigan Seann William Scott,Jesse Dylan
Captain Phillips,Action Drama Thriller,Tom Hanks Catherine Keener Max Martini,Paul Greengrass
Date Night,Comedy,Tina Fey Steve Carell Mark Wahlberg,Shawn Levy
Casper,Fantasy Comedy Family,Christina Ricci Bill Pullman Cathy Moriarty,Brad Silberling
The Equalizer,Thriller Action Crime,Denzel Washington Marton Csokas Chloë Grace Moretz,Antoine Fuqua
Maid in Manhattan,Comedy Drama Romance,Jennifer Lopez Ralph Fiennes Natasha Richardson,Wayne Wang
Crimson Tide,Action Thriller Drama,Denzel Washington Gene Hackman Matt Craven,Tony Scott
The Pursuit of Happyness,Drama,Will Smith Jaden Smith Thandie Newton,Gabriele Muccino
Flightplan,Thriller Drama Mystery,Jodie Foster Peter Sarsgaard Sean Bean,Robert Schwentke
Disclosure,Drama Thriller Crime Mystery Romance,Michael Douglas Demi Moore Donald Sutherland,Barry Levinson
City of Angels,Drama Fantasy Romance,Nicolas Cage Meg Ryan Andre Braugher,Brad Silberling
Kill Bill: Vol. 1,Action Crime,Uma Thurman Lucy Liu Vivica A. Fox,Quentin Tarantino
Bowfinger,Comedy,Steve Martin Eddie Murphy Heather Graham,Frank Oz
Kill Bill: Vol. 2,Action Crime Thriller,Uma Thurman David Carradine Daryl Hannah,Quentin Tarantino
Tango & Cash,Action Adventure Comedy,Sylvester Stallone Kurt Russell Teri Hatcher,Andrei Konchalovsky
Death Becomes Her,Fantasy Comedy,Meryl Streep Bruce Willis Goldie Hawn,Robert Zemeckis
Shanghai Noon,Adventure Action Comedy Western,Jackie Chan Owen Wilson Lucy Liu,Tom Dey
Executive Decision,Action Adventure Drama Thriller,Kurt Russell Steven Seagal Halle Berry,Stuart Baird
Mr. Popper's Penguins,Comedy Family,Jim Carrey Carla Gugino Madeline Carroll,Mark Waters
The Forbidden Kingdom,Action Adventure Fantasy,Jackie Chan Jet Li Michael Angarano,Rob Minkoff
Free Birds,Animation Comedy Family,Owen Wilson Woody Harrelson Amy Poehler,Jimmy Hayward
Alien³,Science Fiction Action Horror,Sigourney Weaver Charles S. Dutton Charles Dance,David Fincher
Evita,History Drama Music,Madonna Antonio Banderas Jonathan Pryce,Alan Parker
Ronin,Action Thriller Crime Adventure,Robert De Niro Jean Reno Natascha McElhone,John Frankenheimer
The Ghost and the Darkness,Adventure,Michael Douglas Val Kilmer Tom Wilkinson,Stephen Hopkins
Paddington,Family Comedy,Nicole Kidman Peter Capaldi Ben Whishaw,Paul King
The Watch,Comedy,Ben Stiller Vince Vaughn Jonah Hill,Akiva Schaffer
The Hunted,Drama Action Thriller Crime,Tommy Lee Jones Benicio del Toro Connie Nielsen,William Friedkin
Instinct,Drama Mystery Thriller,Anthony Hopkins Cuba Gooding Jr. Donald Sutherland,Jon Turteltaub
Stuck on You,Comedy,Matt Damon Greg Kinnear Eva Mendes,Bobby Farrelly
Semi-Pro,Comedy,Will Ferrell Maura Tierney Woody Harrelson,Kent Alterman
The Pirates! In an Adventure with Scientists!,Animation Adventure Family Comedy,Hugh Grant Brendan Gleeson Jeremy Piven,Peter Lord
Changeling,Crime Drama Mystery,Angelina Jolie Jeffrey Donovan John Malkovich,Clint Eastwood
Chain Reaction,Action Drama Science Fiction Thriller,Keanu Reeves Morgan Freeman Rachel Weisz,Andrew Davis
The Fan,Drama Mystery Thriller,Robert De Niro Wesley Snipes Ellen Barkin,Tony Scott
The Phantom of the Opera,Thriller Drama Romance,Gerard Butler Emmy Rossum Patrick Wilson,Joel Schumacher
Elizabeth: The Golden Age,Drama History Romance,Cate Blanchett Clive Owen Geoffrey Rush,Shekhar Kapur
Æon Flux,Action Science Fiction,Charlize Theron Marton Csokas Jonny Lee Miller,Karyn Kusama
Gods and Generals,Drama History War,Stephen Lang Jeff Daniels Robert Duvall,Ronald F. Maxwell
Turbulence,Action Thriller Crime,Ray Liotta Lauren Holly Brendan Gleeson,Robert Butler
Imagine That,Comedy,Eddie Murphy Thomas Haden Church Yara Shahidi,Karey Kirkpatrick
Muppets Most Wanted,Comedy Adventure Crime Family,Ricky Gervais Ty Burrell Tina Fey,James Bobin
Thunderbirds,Action Adventure Comedy Family Fantasy Science Fiction,Brady Corbet Soren Fulton Debora Weston,Jonathan Frakes
Burlesque,Drama Romance,Cher Christina Aguilera Eric Dane,Steve Antin
Un long dimanche de fiançailles,Drama,Audrey Tautou Gaspard Ulliel Dominique Pinon,Jean-Pierre Jeunet
Lolita,Drama Romance,James Mason Sue Lyon Shelley Winters,Stanley Kubrick
D-Tox,Action Thriller,Sylvester Stallone Courtney B. Vance Tom Berenger,Jim Gillespie
Blade II,Fantasy Horror Action Thriller,Wesley Snipes Kris Kristofferson Ron Perlman,Guillermo del Toro
Seven Pounds,Drama,Will Smith Rosario Dawson Sarah Jane Morris,Gabriele Muccino
Bullet to the Head,Action Crime Thriller,Sylvester Stallone Sung Kang Sarah Shahi,Walter Hill
The Godfather: Part III,Crime Drama Thriller,Al Pacino Diane Keaton Andy García,Francis Ford Coppola
Elizabethtown,Comedy Drama Romance,Orlando Bloom Kirsten Dunst Susan Sarandon,Cameron Crowe
"You, Me and Dupree",Comedy Romance,Kate Hudson Owen Wilson Matt Dillon,Anthony Russo
Superman II,Action Adventure Fantasy Science Fiction,Gene Hackman Christopher Reeve Ned Beatty,Richard Lester
Gigli,Drama,Ben Affleck Jennifer Lopez Justin Bartha,Martin Brest
All the King's Men,Drama Thriller,Sean Penn Jude Law Kate Winslet,Steven Zaillian
Shaft,Action Adventure Crime Thriller,Samuel L. Jackson Jeffrey Wright Christian Bale,John Singleton
Anastasia,Animation Family,Meg Ryan John Cusack Christopher Lloyd,Gary Goldman
Moulin Rouge!,Drama Music Romance,Nicole Kidman Ewan McGregor John Leguizamo,Baz Luhrmann
Domestic Disturbance,Mystery Thriller Crime,John Travolta Vince Vaughn Teri Polo,Harold Becker
Black Mass,Crime Drama,Johnny Depp Joel Edgerton Benedict Cumberbatch,Scott Cooper
Flags of Our Fathers,War Drama History,Ryan Phillippe Adam Beach Jesse Bradford,Clint Eastwood
Law Abiding Citizen,Drama Crime Thriller,Jamie Foxx Gerard Butler Colm Meaney,F. Gary Gray
Grindhouse,Thriller Action Horror,Kurt Russell Zoë Bell Rosario Dawson,Robert Rodriguez
Beloved,Drama Thriller,Oprah Winfrey Danny Glover Thandie Newton,Jonathan Demme
Lucky You,Drama Romance,Eric Bana Drew Barrymore Robert Duvall,Curtis Hanson
Catch Me If You Can,Drama Crime,Leonardo DiCaprio Tom Hanks Christopher Walken,Steven Spielberg
Zero Dark Thirty,Thriller Drama History,Jessica Chastain Jason Clarke Mark Strong,Kathryn Bigelow
The Break-Up,Romance Comedy,Vince Vaughn Jennifer Aniston Joey Lauren Adams,Peyton Reed
Mamma Mia!,Comedy Romance,Meryl Streep Pierce Brosnan Amanda Seyfried,Phyllida Lloyd
Valentine's Day,Comedy Romance,Jessica Alba Jessica Biel Bradley Cooper,Garry Marshall
The Dukes of Hazzard,Action Adventure Comedy,Johnny Knoxville Seann William Scott Jessica Simpson,Jay Chandrasekhar
The Thin Red Line,Drama History War,Sean Penn Adrien Brody Jim Caviezel,Terrence Malick
The Change-Up,Comedy,Olivia Wilde Ryan Reynolds Jason Bateman,David Dobkin
Man on the Moon,Comedy Drama Romance,Jim Carrey Courtney Love Bob Zmuda,Miloš Forman
Casino,Drama Crime,Robert De Niro Sharon Stone Joe Pesci,Martin Scorsese
From Paris with Love,Action Crime Thriller,John Travolta Jonathan Rhys Meyers Kasia Smutniak,Pierre Morel
Bulletproof Monk,Action Comedy Fantasy,Seann William Scott Jaime King Karel Roden,Paul Hunter
"Me, Myself & Irene",Comedy,Jim Carrey Renée Zellweger Anthony Anderson,Bobby Farrelly
Barnyard,Animation Comedy Family,Courteney Cox Kevin James Sam Elliott,Steve Oedekerk
Deck the Halls,Comedy Family,Danny DeVito Matthew Broderick Kristin Davis,John Whitesell
The Twilight Saga: New Moon,Adventure Fantasy Drama Romance,Kristen Stewart Robert Pattinson Taylor Lautner,Chris Weitz
Shrek,Adventure Animation Comedy Family Fantasy,Mike Myers Eddie Murphy Cameron Diaz,Andrew Adamson
The Adjustment Bureau,Science Fiction Thriller Romance,Matt Damon Emily Blunt John Slattery,George Nolfi
Robin Hood: Prince of Thieves,Adventure,Kevin Costner Morgan Freeman Christian Slater,Kevin Reynolds
Jerry Maguire,Comedy Drama Romance,Tom Cruise Cuba Gooding Jr. Renée Zellweger,Cameron Crowe
Ted,Comedy Fantasy,Mark Wahlberg Mila Kunis Seth MacFarlane,Seth MacFarlane
As Good as It Gets,Comedy Romance,Jack Nicholson Helen Hunt Greg Kinnear,James L. Brooks
Patch Adams,Comedy Drama,Robin Williams Philip Seymour Hoffman Bob Gunton,Tom Shadyac
Anchorman 2: The Legend Continues,Comedy,Will Ferrell Steve Carell Paul Rudd,Adam McKay
Mr. Deeds,Comedy Romance,Adam Sandler Winona Ryder John Turturro,Steven Brill
Super 8,Thriller Science Fiction Mystery,Joel Courtney Elle Fanning Riley Griffiths,J.J. Abrams
Erin Brockovich,Drama,Julia Roberts Albert Finney Aaron Eckhart,Steven Soderbergh
How to Lose a Guy in 10 Days,Comedy Romance,Kate Hudson Matthew McConaughey Kathryn Hahn,Donald Petrie
22 Jump Street,Crime Comedy Action,Jonah Hill Channing Tatum Dave Franco,Phil Lord
Interview with the Vampire,Horror Romance,Brad Pitt Tom Cruise Kirsten Dunst,Neil Jordan
Yes Man,Comedy,Jim Carrey Zooey Deschanel Rhys Darby,Peyton Reed
Central Intelligence,Action Comedy,Dwayne Johnson Kevin Hart Amy Ryan,Rawson Marshall Thurber
Stepmom,Drama Romance,Julia Roberts Susan Sarandon Ed Harris,Chris Columbus
Daddy's Home,Comedy,Will Ferrell Mark Wahlberg Linda Cardellini,Sean Anders
Into the Woods,Fantasy Comedy Music,Meryl Streep Emily Blunt James Corden,Rob Marshall
Inside Man,Crime Drama Thriller,Denzel Washington Clive Owen Jodie Foster,Spike Lee
Payback,Drama Action Thriller Crime,Mel Gibson Kris Kristofferson Gregg Henry,Brian Helgeland
Congo,Action Adventure Drama Mystery Science Fiction Thriller,Laura Linney Dylan Walsh Ernie Hudson,Frank Marshall
We Bought a Zoo,Drama Comedy Family,Matt Damon Scarlett Johansson Thomas Haden Church,Cameron Crowe
Knowing,Action Adventure Drama Mystery Science Fiction Thriller,Nicolas Cage Rose Byrne Chandler Canterbury,Alex Proyas
Failure to Launch,Comedy,Matthew McConaughey Sarah Jessica Parker Zooey Deschanel,Tom Dey
The Ring Two,Drama Horror Thriller,Naomi Watts Simon Baker Elizabeth Perkins,Hideo Nakata
"Crazy, Stupid, Love.",Comedy Drama Romance,Steve Carell Julianne Moore Ryan Gosling,Glenn Ficarra
Garfield,Animation Comedy Family,Bill Murray Breckin Meyer Jennifer Love Hewitt,Peter Hewitt
Christmas with the Kranks,Comedy Family,Tim Allen Jamie Lee Curtis Dan Aykroyd,Joe Roth
Moneyball,Drama,Brad Pitt Jonah Hill Philip Seymour Hoffman,Bennett Miller
Outbreak,Action Drama Science Fiction Thriller,Dustin Hoffman Rene Russo Morgan Freeman,Wolfgang Petersen
Non-Stop,Action Thriller Mystery,Liam Neeson Julianne Moore Scoot McNairy,Jaume Collet-Serra
Race to Witch Mountain,Adventure Family Fantasy Science Fiction Thriller Action,Dwayne Johnson AnnaSophia Robb Alexander Ludwig,Andy Fickman
V for Vendetta,Action Thriller Fantasy,Natalie Portman Hugo Weaving Stephen Rea,James McTeigue
Shanghai Knights,Action Adventure Comedy Western,Jackie Chan Owen Wilson Fann Wong,David Dobkin
Curious George,Adventure Animation Comedy Family,Will Ferrell Drew Barrymore David Cross,Matthew O'Callaghan
Herbie Fully Loaded,Comedy Family Adventure Fantasy Romance,Lindsay Lohan Michael Keaton Matt Dillon,Angela Robinson
Don't Say a Word,Thriller,Michael Douglas Sean Bean Brittany Murphy,Gary Fleder
Hansel & Gretel: Witch Hunters,Fantasy Horror Action,Jeremy Renner Gemma Arterton Famke Janssen,Tommy Wirkola
Unfaithful,Thriller Drama,Richard Gere Diane Lane Olivier Martinez,Adrian Lyne
I Am Number Four,Action Thriller Science Fiction Adventure,Alex Pettyfer Timothy Olyphant Teresa Palmer,D.J. Caruso
Syriana,Drama Thriller,George Clooney Matt Damon Jeffrey Wright,Stephen Gaghan
13 Hours: The Secret Soldiers of Benghazi,Action Drama History Thriller War,James Badge Dale John Krasinski Max Martini,Michael Bay
The Book of Life,Romance Animation Adventure Comedy Family Fantasy,Diego Luna Channing Tatum Zoe Saldana,Jorge R. Gutierrez
Firewall,Thriller,Harrison Ford Paul Bettany Virginia Madsen,Richard Loncraine
Absolute Power,Crime Drama Thriller,Clint Eastwood Gene Hackman Ed Harris,Clint Eastwood
G.I. Jane,Action Drama,Demi Moore Viggo Mortensen Anne Bancroft,Ridley Scott
The Game,Drama Thriller Mystery,Michael Douglas Sean Penn Deborah Kara Unger,David Fincher
Silent Hill,Horror Mystery,Radha Mitchell Sean Bean Laurie Holden,Christophe Gans
The Replacements,Comedy,Keanu Reeves Gene Hackman Brooke Langton,Howard Deutch
American Reunion,Comedy,Jason Biggs Alyson Hannigan Seann William Scott,Jon Hurwitz
The Negotiator,Action Adventure Crime Drama Mystery Thriller,Samuel L. Jackson Kevin Spacey David Morse,F. Gary Gray
Into the Storm,Action Thriller,Richard Armitage Sarah Wayne Callies Matt Walsh,Steven Quale
Beverly Hills Cop III,Action Comedy Crime,Eddie Murphy Judge Reinhold Héctor Elizondo,John Landis
Gremlins 2: The New Batch,Comedy Horror Fantasy,Zach Galligan Phoebe Cates John Glover,Joe Dante
The Judge,Drama,Robert Duvall Robert Downey Jr. Vera Farmiga,David Dobkin
The Peacemaker,Action Thriller,George Clooney Nicole Kidman Marcel Iureș,Mimi Leder
Resident Evil: Apocalypse,Horror Action Science Fiction,Milla Jovovich Sienna Guillory Oded Fehr,Alexander Witt
Bridget Jones: The Edge of Reason,Comedy Romance,Renée Zellweger Hugh Grant Colin Firth,Beeban Kidron
Out of Time,Thriller Crime Drama,Denzel Washington Eva Mendes Sanaa Lathan,Carl Franklin
On Deadly Ground,Action Thriller,Steven Seagal Michael Caine Joan Chen,Steven Seagal
The Adventures of Sharkboy and Lavagirl,Adventure Family Science Fiction,Taylor Lautner Taylor Dooley Cayden Boyd,Robert Rodriguez
The Beach,Drama Adventure Romance Thriller,Leonardo DiCaprio Guillaume Canet Tilda Swinton,Danny Boyle
Raising Helen,Drama Comedy Romance,Kate Hudson John Corbett Joan Cusack,Garry Marshall
Ninja Assassin,Action Crime Thriller,Rain Naomie Harris Sung Kang,James McTeigue
For Love of the Game,Drama Romance,Kevin Costner Kelly Preston John C. Reilly,Sam Raimi
Striptease,Drama Thriller Crime,Demi Moore Burt Reynolds Armand Assante,Andrew Bergman
Marmaduke,Family Comedy,Owen Wilson Emma Stone George Lopez,Tom Dey
Hereafter,Drama Fantasy,Matt Damon Bryce Dallas Howard George McLaren,Clint Eastwood
Murder by Numbers,Crime Drama Thriller,Sandra Bullock Ben Chaplin Ryan Gosling,Barbet Schroeder
Assassins,Action Adventure Crime Thriller,Sylvester Stallone Antonio Banderas Julianne Moore,Richard Donner
Hannibal Rising,Crime Drama Thriller,Gaspard Ulliel Aaran Thomas Gong Li,Peter Webber
The Story of Us,Comedy Drama Romance,Bruce Willis Michelle Pfeiffer Rob Reiner,Rob Reiner
The Host,Action Adventure Romance Science Fiction Thriller,Saoirse Ronan Diane Kruger Jake Abel,Andrew Niccol
Basic,Action Drama Mystery Thriller Crime,John Travolta Connie Nielsen Samuel L. Jackson,John McTiernan
Blood Work,Crime Drama Mystery Thriller,Clint Eastwood Jeff Daniels Anjelica Huston,Clint Eastwood
The International,Drama Thriller Crime,Clive Owen Naomi Watts Armin Mueller-Stahl,Tom Tykwer
Escape from L.A.,Action Adventure Science Fiction Thriller,Kurt Russell Stacy Keach Steve Buscemi,John Carpenter
The Iron Giant,Adventure Animation Family Fantasy Science Fiction,Eli Marienthal Jennifer Aniston Vin Diesel,Brad Bird
The Life Aquatic with Steve Zissou,Adventure Comedy Drama,Bill Murray Anjelica Huston Cate Blanchett,Wes Anderson
Free State of Jones,War Action Drama History Thriller,Matthew McConaughey Gugu Mbatha-Raw Mahershala Ali,Gary Ross
The Life of David Gale,Drama Thriller Crime,Kevin Spacey Kate Winslet Laura Linney,Alan Parker
Man of the House,Comedy Action,Tommy Lee Jones Cedric the Entertainer Christina Milian,Stephen Herek
Run All Night,Action Crime Drama Mystery Thriller,Liam Neeson Ed Harris Joel Kinnaman,Jaume Collet-Serra
Eastern Promises,Thriller Crime Mystery,Naomi Watts Viggo Mortensen Vincent Cassel,David Cronenberg
Into the Blue,Action Thriller Adventure Crime,Paul Walker Jessica Alba Scott Caan,John Stockwell
Joan of Arc,Adventure Drama Action History War,Milla Jovovich Dustin Hoffman Faye Dunaway,Luc Besson
Your Highness,Comedy,Danny McBride James Franco Natalie Portman,David Gordon Green
Dream House,Drama Thriller Mystery,Daniel Craig Naomi Watts Rachel Weisz,Jim Sheridan
Mad City,Action Drama Thriller,John Travolta Dustin Hoffman Mia Kirshner,Costa-Gavras
Baby's Day Out,Action Adventure Comedy Family,Joe Mantegna Lara Flynn Boyle Joe Pantoliano,Patrick Read Johnson
The Scarlet Letter,Drama History Romance,Demi Moore Gary Oldman Robert Duvall,Roland Joffé
Fair Game,Drama Thriller,Naomi Watts Sean Penn Ty Burrell,Doug Liman
Domino,Action Crime,Keira Knightley Mickey Rourke Edgar Ramírez,Tony Scott
Jade,Action Thriller Mystery Romance,David Caruso Linda Fiorentino Chazz Palminteri,William Friedkin
Gamer,Action Thriller Science Fiction,Gerard Butler Michael C. Hall Logan Lerman,Brian Taylor
Beautiful Creatures,Fantasy Drama Romance,Alden Ehrenreich Alice Englert Jeremy Irons,Richard LaGravenese
Death to Smoochy,Comedy Crime Drama Thriller,Robin Williams Catherine Keener Edward Norton,Danny DeVito
Zoolander 2,Comedy,Ben Stiller Owen Wilson Will Ferrell,Ben Stiller
The Big Bounce,Comedy Crime,Owen Wilson Morgan Freeman Gary Sinise,George Armitage
What Planet Are You From?,Comedy Drama Romance Science Fiction,Garry Shandling Annette Bening John Goodman,Mike Nichols
